,title,year,is_Chinese_paper_lingua_f
2273219,Differential evolution with novel local search operation for large scale optimization problems,2015.0,English
1461186,Size-dependent cytotoxicity of europium doped NaYF4 nanoparticles in endothelial cells,2014.0,English
1956013,EBVDNA 检测在小儿EBV 感染相关疾病诊断中的意义,2014.0,Chinese
837697,Preparation of Polyimide/BaTiO3/Ag Nanocomposite Films via In situ Technique and Study of Their Dielectric Behavior,2014.0,English
1435988,准一维极性分子量子气体,2014.0,Chinese
1571755,中国互联网创业的集聚特征与区位因素初探,2018.0,Chinese
1079410,Double-pulse excitation scheme for laser cooling of solids in the superradiance regime,2015.0,English
246845,纳微尺度铜金属有机框架催化过氧化氢氧化异丁香酚,2016.0,Chinese
291618,设施菜田与棚外粮田土壤菌群和反硝化气体产生的比较分析,2015.0,Chinese
477771,基于遥感技术及综合指数法的广州市自然生态环境评价,2015.0,Chinese
1780009,Web-Based Probabilistic Retrieval of Chinese Calligraphic Character Images: An Efficiency Study,2010.0,English
354245,含腐植酸风化煤对镉污染土壤理化性质及小白菜生理指标的研究,2017.0,Chinese
2139767,Substrate-induced stress in silicon nanocrystal/SiO2 multilayer structures,2012.0,English
870909,基于步行到站者出行时间的独立BRT走廊站距优化模型,2014.0,Chinese
696000,Nonstoichiometric CuxInyS Quantum Dots for Efficient Photocatalytic Hydrogen Evolution,2017.0,English
2322228,BML-111 equilibrated ACE-AngII-AT1R and ACE2-Ang-(1-7)-Mas axis to protect hepatic fibrosis in rats,2017.0,English
1144789,联盟组合伙伴知识互补性与突破性技术创新:知识搜索与过程依赖性的调节作用,2017.0,Chinese
2228330,Microbial community structure and diversity within hypersaline Keke Salt Lake environments,2017.0,English
195726,动力学控制的金属-有机一维半导体材料可控自组装,2013.0,Chinese
1853551,Filtering based multi-innovation stochastic gradient identification algorithm for multivariable nonlinear equation –error autoregressive systems,2016.0,English
2073434,天然钾长石-磷石膏矿化CO_2联产硫酸钾过程评价,2014.0,Chinese
1578425,舟曲泥石流天气过程中云团合并的卫星观测,2013.0,Chinese
1000464,Generation of a mid-infrared broadband polarized supercontinuum in As2Se3 photonic crystal fibers,2012.0,English
1323062,Pin1-Nanog expression in human glioma is correlated with advanced tumor progression,2013.0,English
1053118,基于Bayes框架的复合高斯杂波下稳健检测,2013.0,Chinese
571733,基于尖点突变理论的平行组拼双肋拱侧倾失稳临界荷载计算新方法,2014.0,Chinese
2168777,Structural MRI substrates of cognitive impairment in neuromyelitis optica,2015.0,English
1522514,玉米赤霉烯酮和脱氧雪腐镰刀菌烯醇及其联合染毒对小鼠肝氧化损伤的研究,2015.0,Chinese
2071702,Preparation of Flexible and Conductive Lignosulfonate-polypyrrole Paper by Self-assembly Polymerization,2018.0,English
168292,A multi-walled carbon nanotubes-poly(L-lysine) modified enantioselective immunosensor for ofloxacin by using multi-enzyme-labeled gold nanoflower as signal enhancer,2015.0,English
1428311,Stability of a two-dimensional homogeneous spin-orbit-coupled boson system,2013.0,English
467102,大面积水深异常检测的条件变化自编码算法,2019.0,Chinese
2096492,新背景下电力系统的建模思路,2016.0,Chinese
456977,Shiyan Tao and the history of indigenous Meteorology in China,2014.0,English
982802,Lumped 3-D Equivalent Thermal Circuit Model for Transient Thermal Analysis of TSV Array,2019.0,English
1452869,Development and characterizations of a miniature capillary electrophoresis mass spectrometry system,2015.0,English
2223702,亚热带退化红壤区森林恢复类型土壤有机碳矿化对温度的响应,2018.0,Chinese
604649,公路隧道施工空气污染健康损害评价,2017.0,Chinese
202819,新型双核Mn(Ⅱ)-自由基配合物的结构及热力学性质,2012.0,Chinese
1143147,基于工作角色视角的独立董事尽责机理与实证检验,2013.0,Chinese
822968,铝镁金属抛光工艺粉尘爆炸事故分析与防护,2014.0,Chinese
732673,"Preparation of flexible, hydrophobic, and oleophilic silica aerogels based a methyltriethoxysilane precursor",2014.0,English
1122276,电子目录的SWRL规则研究,2011.0,Chinese
288607,Bi2O3-TiO2复合光催化剂协同处理铬-邻苯二甲酸酯复合污染,2016.0,Chinese
822642,"聚(1,5-二氨基蒽醌)/磺化石墨烯纳米复合材料的合成及其电化学储能研究",2013.0,Chinese
1844408,Identification of Complex Biological Network Classes Using Extended Correlation Analysis,2012.0,English
811839,活态保护目标下北方泉水村落环境价值评价研究,2015.0,Chinese
1559084,A plasmonic colorimetric strategy for visual miRNA detection based on hybridization chain reaction,2016.0,English
1328706,Rhomboid domain containing 1 promotes colorectal cancer growth through activation of the EGFR signalling pathway,2015.0,English
1785995,Soliton pair generation in the interactions of Airy and nonlinear accelerating beams,2013.0,English
815300,Template-free synthesis of coral-like ntrogen-doped carbon dots/Ni3S2/Ni foam composites as highly efficient electrodes for water splitting,2017.0,English
274493,How does ammonia bind to the oxygen-evolving complex in the S-2 state of photosynthetic water oxidation? Theoretical support and implications for the W1 substitution mechanism,2016.0,English
820769,Synthesis and Characterization of TiO2 Nanoparticles,2014.0,English
1708408,海水水质评价的突变模糊指数公式及效果验证,2015.0,Chinese
1737328,A novel milling dynamometer for high frequency three-dimensional dynamic milling forces,2012.0,English
267764,Potential- and concentration-dependent self-assembly structures at solid/liquid interfaces,2018.0,English
2026459,hsa-miR-655靶向CLCF1基因对人成骨肉瘤MG63细胞OPG/RANKL系统表达的影响,2017.0,Chinese
1225994,Resveratrol protects cardiomyocytes from oxidative stress through SIRT1 and mitochondrial biogenesis signaling pathways,2013.0,English
235067,Direct Palladium-Catalyzed C-4 Arylation of Tri-substituted Furans with Aryl Chlorides: An Efficient Access to Heteroaromatics,2012.0,English
1967553,Identification of a p.R143Q dominant mutation in the gap junction beta-2 gene in three Chinese patients with different hearing phenotypes,2013.0,English
591762,Ti-47Al-2Cr-0.2Mo合金多道次热塑性变形行为,2012.0,Chinese
76162,Correlations between the peak flux density and the position angle of inner-jet in three blazars,2012.0,English
1403641,Deep electron traps and origin of p-type conductivity in the earth-abundant solar-cell material Cu2ZnSnS4,2013.0,English
2298901,TLR4与COPD肺血管重塑相互关系的研究进展,2016.0,Chinese
1089126,政府诚信与企业投资效率,2015.0,Chinese
1099160,就绪时间受限的负荷单机环境下返工工件重调度方法,2013.0,Chinese
1872644,Robot Path Planning Using a Self-adaptive Bacterial Foraging Algorithm,2013.0,English
1000911,Parallelizing SOR for GPGPUs using alternate loop tiling,2012.0,English
1311383,IL-23 Promotes Myocardial I/R Injury by Increasing the Inflammatory Responses and      Oxidative Stress Reactions.,2016.0,English
1221746,Increased expression of Metadherin protein predicts worse disease free and overall survival in laryngeal squamous cell carcinoma.,2013.0,English
2150221,High Brightness 556nm Laser by Frequency Doubling of a 1112nm Nd:YAG Laser,2014.0,English
430979,抗性淀粉对HFA小鼠肠道菌群的影响,2013.0,Chinese
2057503,金属-有机骨架材料用于去除天然气中H2S的计算研究,2014.0,Chinese
1252791,川芎根茎组织部位对镉的富集能力探索,2015.0,Chinese
1139840,汇率制度效果及启示:基于1978-2009年间数据的实证研究,2013.0,Chinese
2249281,Preparation and theoretic study of semi-solid Al2Y/AZ91 magnesium matrix composites slurry by ultrasonic vibration,2014.0,English
1018740,单环四阶SigmaDelta调制器噪声传递函数设计,2016.0,Chinese
231946,二苯基氧磷修饰的不对称三嗪主体材料的理论研究,2014.0,Chinese
383985,不同毛色山羊皮肤组织Agouti基因mRNA及其编码ASIP差异表达研究,2014.0,Chinese
1323844,IFN-γ regulates human dental pulp stem cells behavior via NF-κB and MAPK signaling.,2017.0,English
594188,Celecoxib-induced self-assembly of smart albumin-doxorubicin conjugate for enhanced cancer therapy,2018.0,English
2254377,BaTiO3-(Bi1/2Na1/2)TiO3无铅正温度系数电阻陶瓷势垒高度的计算,2015.0,Chinese
2116296,Large-eddy simulation of the flow normal to a flat plate including corner effects at a high Reynolds number,2014.0,English
505377,Source identification and apportionment of heavy metals in urban soil profiles,2015.0,English
344238,4个种属Mx蛋白抑制水疱性口炎病毒的研究,2017.0,Chinese
2054485,Electrochemiluminescence signal amplification combined with a conformation-switched hairpin DNA probe for determining the methylation level and position in the Hsp53 tumor suppressor gene,2014.0,English
652436,Novel 6/7 stator/rotor hybrid excitation doubly salient permanent magnet machine,2016.0,English
357004,A Prediction Model for Grafting Reactive Red 120 on Nanocellulose,2018.0,English
1506172,Fabrication of universal serial bus flash disk type microfluidic chip electrophoresis and application for protein analysis under ultra low voltage,2016.0,English
2252100,BaTiO3-polyethersulfone nanocomposites with high dielectric constant and excellent thermal stability,2011.0,English
1105831,新型城镇化背景下中国区域生态效率分析,2017.0,Chinese
416680,Adverse biological effect of TiO？2 and hydroxyapatite nanoparticles used in bone repair and replacement,2016.0,English
2006667,利格列汀治疗T2DM合并早期糖尿病肾病的效果观察,2016.0,Chinese
1413128,Collimating lenses from non-Euclidean transformation optics,2012.0,English
1613556,基于Agent的游览路线设计与模拟,2013.0,Chinese
894754,Optimized shape semantic graph representation for object understanding and recognition in point clouds,2016.0,English
2080325,Identification of the two glycosyltransferase genes responsible for the difference between Escherichia coli O107 and O117 O-antigens,2012.0,English
151054,一类碳纳米管状图的Tutte多项式,2011.0,Chinese
216517,Restructured Fe-Mn alloys encapsulated by N-doped carbon nanotubes catalysts derived from bimetallic MOF for enhanced oxygen reduction reaction,2018.0,English
63165,不同围压作用下煤-岩组合体破坏行为及强度特征,2016.0,Chinese
1073174,A single cells patterning approach for human promyelocytic leukemia cells,2013.0,English
142226,Tunable Positive to Negative Magnetoresistance in Atomically Thin WTe2.,2017.0,English
2205435,大黄斑枯病菌生物学特性研究,2018.0,Chinese
1743098,Preparation and dielectric properties of core-shell structured Ag@polydopamine/poly(vinylidene fluoride) composites,2015.0,English
